creative_id,campaign_key,adset_key,format,asset_path,primary_text,headline,destination_url,approval_status,qa_issue,account_id_alias,objective,placement,asset_hash,variant_group,hook,language,country,utm_source,utm_medium,utm_campaign,utm_content,utm_term,post_id,post_id_type,source_system,source_row_id,reviewer,approved_at
cr_001,camp_launch,as_prospecting_us,image,fixtures/fake_agency_creatives/assets/launch_static_001.jpg,Hook 01 for prospecting US,Launch offer 01,https://example.invalid/launch-us,approved,,acct_fixture_us,traffic,feed,c30fe8f1d4b60f62,camp_launch_as_prospecting_us,hook_01,en,US,facebook,paid_social,camp_launch,cr_001_camp_launch_as_prospecting_us,as_prospecting_us,,new,synthetic_sheet,row_001,fixture_approver,2026-07-05
cr_002,camp_launch,as_prospecting_us,video,fixtures/fake_agency_creatives/assets/launch_video_002.mp4,Hook 02 for prospecting US,Launch offer 02,https://example.invalid/launch-us,approved,,acct_fixture_us,traffic,reels,ed716566e09e73fd,camp_launch_as_prospecting_us,hook_02,en,US,facebook,paid_social,camp_launch,cr_002_camp_launch_as_prospecting_us,as_prospecting_us,,new,synthetic_sheet,row_002,fixture_approver,2026-07-05
cr_003,camp_launch,as_prospecting_us,carousel,fixtures/fake_agency_creatives/assets/launch_carousel_003.jpg,Hook 03 for prospecting US,Launch offer 03,https://example.invalid/launch-us,pending,missing_approval,acct_fixture_us,traffic,feed,ef96dfc034ff3394,camp_launch_as_prospecting_us,hook_03,en,US,facebook,paid_social,camp_launch,cr_003_camp_launch_as_prospecting_us,as_prospecting_us,,new,synthetic_sheet,row_003,,
cr_004,camp_launch,as_prospecting_us,story,fixtures/fake_agency_creatives/assets/launch_story_004.jpg,Hook 04 for prospecting US,Launch offer 04,https://example.invalid/launch-us,approved,,acct_fixture_us,traffic,story,5a729a9145aa122c,camp_launch_as_prospecting_us,hook_04,en,US,facebook,paid_social,camp_launch,cr_004_camp_launch_as_prospecting_us,as_prospecting_us,,new,synthetic_sheet,row_004,fixture_approver,2026-07-05
cr_005,camp_launch,as_prospecting_us,image,fixtures/fake_agency_creatives/assets/launch_static_005.jpg,Hook 05 for prospecting US,Launch offer 05,https://example.invalid/launch-us,approved,naming_error,acct_fixture_us,traffic,feed,4328fd84b7025182,camp_launch_as_prospecting_us,hook_05,en,US,facebook,paid_social,camp_launch,cr_005_camp_launch_as_prospecting_us,as_prospecting_us,,new,synthetic_sheet,row_005,fixture_approver,2026-07-05
cr_006,camp_launch,as_prospecting_us,video,fixtures/fake_agency_creatives/assets/launch_video_006.mp4,Hook 06 for prospecting US,Launch offer 06,https://example.invalid/launch-us,rejected,missing_approval,acct_fixture_us,traffic,reels,a1525ab51a25c1fe,camp_launch_as_prospecting_us,hook_06,en,US,facebook,paid_social,camp_launch,cr_006_camp_launch_as_prospecting_us,as_prospecting_us,,new,synthetic_sheet,row_006,,
cr_007,camp_launch,as_prospecting_us,image,fixtures/fake_agency_creatives/assets/launch_static_001.jpg,Hook 07 for prospecting US,Launch offer 07,https://example.invalid/launch-us,approved,duplicate_asset,acct_fixture_us,traffic,feed,c30fe8f1d4b60f62,camp_launch_as_prospecting_us,hook_07,en,US,facebook,paid_social,camp_launch,cr_007_camp_launch_as_prospecting_us,as_prospecting_us,post_c30fe8f1d4,existing,synthetic_sheet,row_007,fixture_approver,2026-07-05
cr_008,camp_launch,as_prospecting_us,carousel,fixtures/fake_agency_creatives/assets/launch_carousel_008.jpg,Hook 08 for prospecting US,Launch offer 08,https://example.invalid/launch-alt,approved,destination_mismatch,acct_fixture_us,traffic,feed,65f7c777d1bfb59b,camp_launch_as_prospecting_us,hook_08,en,US,facebook,paid_social,camp_launch,cr_008_camp_launch_as_prospecting_us,as_prospecting_us,,new,synthetic_sheet,row_008,fixture_approver,2026-07-05
cr_009,camp_launch,as_prospecting_us,story,fixtures/fake_agency_creatives/assets/launch_story_009.jpg,Hook 09 for prospecting US,Launch offer 09,https://example.invalid/launch-us,pending,missing_approval,acct_fixture_us,traffic,story,c406950319ad9801,camp_launch_as_prospecting_us,hook_09,en,US,facebook,paid_social,camp_launch,cr_009_camp_launch_as_prospecting_us,as_prospecting_us,,new,synthetic_sheet,row_009,,
cr_010,camp_launch,as_prospecting_us,collection,fixtures/fake_agency_creatives/assets/launch_collection_010.jpg,Hook 10 for prospecting US,Launch offer 10,https://example.invalid/launch-us,approved,unsupported_format,acct_fixture_us,traffic,feed,7792df04025ed131,camp_launch_as_prospecting_us,hook_10,en,US,facebook,paid_social,camp_launch,cr_010_camp_launch_as_prospecting_us,as_prospecting_us,,new,synthetic_sheet,row_010,fixture_approver,2026-07-05
cr_011,camp_launch,as_retargeting_us,image,fixtures/fake_agency_creatives/assets/retarget_static_011.jpg,Hook 11 for retargeting US,Return offer 11,https://example.invalid/retarget-us,approved,,acct_fixture_us,traffic,feed,32999174990a9999,camp_launch_as_retargeting_us,hook_11,en,US,facebook,paid_social,camp_launch,cr_011_camp_launch_as_retargeting_us,as_retargeting_us,,new,synthetic_sheet,row_011,fixture_approver,2026-07-05
cr_012,camp_launch,as_retargeting_us,video,fixtures/fake_agency_creatives/assets/retarget_video_012.mp4,Hook 12 for retargeting US,Return offer 12,https://example.invalid/retarget-us,approved,,acct_fixture_us,traffic,reels,4a03e6f2f884b4c9,camp_launch_as_retargeting_us,hook_12,en,US,facebook,paid_social,camp_launch,cr_012_camp_launch_as_retargeting_us,as_retargeting_us,,new,synthetic_sheet,row_012,fixture_approver,2026-07-05
cr_013,camp_launch,as_retargeting_us,carousel,fixtures/fake_agency_creatives/assets/retarget_carousel_013.jpg,Hook 13 for retargeting US,Return offer 13,https://example.invalid/retarget-us,pending,missing_approval,acct_fixture_us,traffic,feed,1a843a2ed8bbc566,camp_launch_as_retargeting_us,hook_13,en,US,facebook,paid_social,camp_launch,cr_013_camp_launch_as_retargeting_us,as_retargeting_us,,new,synthetic_sheet,row_013,,
cr_014,camp_launch,as_retargeting_us,story,fixtures/fake_agency_creatives/assets/retarget_story_014.jpg,Hook 14 for retargeting US,Return offer 14,https://example.invalid/retarget-us,approved,,acct_fixture_us,traffic,story,9449321483b3ad25,camp_launch_as_retargeting_us,hook_14,en,US,facebook,paid_social,camp_launch,cr_014_camp_launch_as_retargeting_us,as_retargeting_us,,new,synthetic_sheet,row_014,fixture_approver,2026-07-05
cr_015,camp_launch,as_retargeting_us,image,fixtures/fake_agency_creatives/assets/retarget_static_015.jpg,Hook 15 for retargeting US,Return offer 15,https://example.invalid/retarget-us,approved,naming_error,acct_fixture_us,traffic,feed,04ae692a35fea476,camp_launch_as_retargeting_us,hook_15,en,US,facebook,paid_social,camp_launch,cr_015_camp_launch_as_retargeting_us,as_retargeting_us,,new,synthetic_sheet,row_015,fixture_approver,2026-07-05
cr_016,camp_launch,as_retargeting_us,video,fixtures/fake_agency_creatives/assets/retarget_video_016.mp4,Hook 16 for retargeting US,Return offer 16,https://example.invalid/retarget-us,rejected,missing_approval,acct_fixture_us,traffic,reels,f81e09e0c64ceb35,camp_launch_as_retargeting_us,hook_16,en,US,facebook,paid_social,camp_launch,cr_016_camp_launch_as_retargeting_us,as_retargeting_us,,new,synthetic_sheet,row_016,,
cr_017,camp_launch,as_retargeting_us,image,fixtures/fake_agency_creatives/assets/retarget_static_011.jpg,Hook 17 for retargeting US,Return offer 17,https://example.invalid/retarget-us,approved,duplicate_asset,acct_fixture_us,traffic,feed,32999174990a9999,camp_launch_as_retargeting_us,hook_17,en,US,facebook,paid_social,camp_launch,cr_017_camp_launch_as_retargeting_us,as_retargeting_us,post_3299917499,existing,synthetic_sheet,row_017,fixture_approver,2026-07-05
cr_018,camp_launch,as_retargeting_us,carousel,fixtures/fake_agency_creatives/assets/retarget_carousel_018.jpg,Hook 18 for retargeting US,Return offer 18,https://example.invalid/retarget-alt,approved,destination_mismatch,acct_fixture_us,traffic,feed,8057991e8f55342b,camp_launch_as_retargeting_us,hook_18,en,US,facebook,paid_social,camp_launch,cr_018_camp_launch_as_retargeting_us,as_retargeting_us,,new,synthetic_sheet,row_018,fixture_approver,2026-07-05
cr_019,camp_launch,as_retargeting_us,story,fixtures/fake_agency_creatives/assets/retarget_story_019.jpg,Hook 19 for retargeting US,Return offer 19,https://example.invalid/retarget-us,pending,missing_approval,acct_fixture_us,traffic,story,192e4c384ba8b9f5,camp_launch_as_retargeting_us,hook_19,en,US,facebook,paid_social,camp_launch,cr_019_camp_launch_as_retargeting_us,as_retargeting_us,,new,synthetic_sheet,row_019,,
cr_020,camp_launch,as_retargeting_us,collection,fixtures/fake_agency_creatives/assets/retarget_collection_020.jpg,Hook 20 for retargeting US,Return offer 20,https://example.invalid/retarget-us,approved,unsupported_format,acct_fixture_us,traffic,feed,03cfbdcf86d60a9f,camp_launch_as_retargeting_us,hook_20,en,US,facebook,paid_social,camp_launch,cr_020_camp_launch_as_retargeting_us,as_retargeting_us,,new,synthetic_sheet,row_020,fixture_approver,2026-07-05
cr_021,camp_launch,as_prospecting_fr,image,fixtures/fake_agency_creatives/assets/fr_static_021.jpg,Hook 21 for prospecting FR,Launch FR 21,https://example.invalid/launch-fr,approved,,acct_fixture_fr,traffic,feed,211f1dd1751c84b1,camp_launch_as_prospecting_fr,hook_21,fr,FR,facebook,paid_social,camp_launch,cr_021_camp_launch_as_prospecting_fr,as_prospecting_fr,,new,synthetic_sheet,row_021,fixture_approver,2026-07-05
cr_022,camp_launch,as_prospecting_fr,video,fixtures/fake_agency_creatives/assets/fr_video_022.mp4,Hook 22 for prospecting FR,Launch FR 22,https://example.invalid/launch-fr,approved,,acct_fixture_fr,traffic,reels,e1fa6a20fa694283,camp_launch_as_prospecting_fr,hook_22,fr,FR,facebook,paid_social,camp_launch,cr_022_camp_launch_as_prospecting_fr,as_prospecting_fr,,new,synthetic_sheet,row_022,fixture_approver,2026-07-05
cr_023,camp_launch,as_prospecting_fr,carousel,fixtures/fake_agency_creatives/assets/fr_carousel_023.jpg,Hook 23 for prospecting FR,Launch FR 23,https://example.invalid/launch-fr,pending,missing_approval,acct_fixture_fr,traffic,feed,abb202fc839334f2,camp_launch_as_prospecting_fr,hook_23,fr,FR,facebook,paid_social,camp_launch,cr_023_camp_launch_as_prospecting_fr,as_prospecting_fr,,new,synthetic_sheet,row_023,,
cr_024,camp_launch,as_prospecting_fr,story,fixtures/fake_agency_creatives/assets/fr_story_024.jpg,Hook 24 for prospecting FR,Launch FR 24,https://example.invalid/launch-fr,approved,,acct_fixture_fr,traffic,story,ef5d43e17f31037e,camp_launch_as_prospecting_fr,hook_24,fr,FR,facebook,paid_social,camp_launch,cr_024_camp_launch_as_prospecting_fr,as_prospecting_fr,,new,synthetic_sheet,row_024,fixture_approver,2026-07-05
cr_025,camp_launch,as_prospecting_fr,image,fixtures/fake_agency_creatives/assets/fr_static_025.jpg,Hook 25 for prospecting FR,Launch FR 25,https://example.invalid/launch-fr,approved,naming_error,acct_fixture_fr,traffic,feed,4dd7b45d14a49c19,camp_launch_as_prospecting_fr,hook_25,fr,FR,facebook,paid_social,camp_launch,cr_025_camp_launch_as_prospecting_fr,as_prospecting_fr,,new,synthetic_sheet,row_025,fixture_approver,2026-07-05
cr_026,camp_launch,as_prospecting_fr,video,fixtures/fake_agency_creatives/assets/fr_video_026.mp4,Hook 26 for prospecting FR,Launch FR 26,https://example.invalid/launch-fr,rejected,missing_approval,acct_fixture_fr,traffic,reels,ada0219c4bc91db9,camp_launch_as_prospecting_fr,hook_26,fr,FR,facebook,paid_social,camp_launch,cr_026_camp_launch_as_prospecting_fr,as_prospecting_fr,,new,synthetic_sheet,row_026,,
cr_027,camp_launch,as_prospecting_fr,image,fixtures/fake_agency_creatives/assets/fr_static_021.jpg,Hook 27 for prospecting FR,Launch FR 27,https://example.invalid/launch-fr,approved,duplicate_asset,acct_fixture_fr,traffic,feed,211f1dd1751c84b1,camp_launch_as_prospecting_fr,hook_27,fr,FR,facebook,paid_social,camp_launch,cr_027_camp_launch_as_prospecting_fr,as_prospecting_fr,post_211f1dd175,existing,synthetic_sheet,row_027,fixture_approver,2026-07-05
cr_028,camp_launch,as_prospecting_fr,carousel,fixtures/fake_agency_creatives/assets/fr_carousel_028.jpg,Hook 28 for prospecting FR,Launch FR 28,https://example.invalid/launch-fr-alt,approved,destination_mismatch,acct_fixture_fr,traffic,feed,03c9ab79988affff,camp_launch_as_prospecting_fr,hook_28,fr,FR,facebook,paid_social,camp_launch,cr_028_camp_launch_as_prospecting_fr,as_prospecting_fr,,new,synthetic_sheet,row_028,fixture_approver,2026-07-05
cr_029,camp_launch,as_prospecting_fr,story,fixtures/fake_agency_creatives/assets/fr_story_029.jpg,Hook 29 for prospecting FR,Launch FR 29,https://example.invalid/launch-fr,pending,missing_approval,acct_fixture_fr,traffic,story,d396796f08810564,camp_launch_as_prospecting_fr,hook_29,fr,FR,facebook,paid_social,camp_launch,cr_029_camp_launch_as_prospecting_fr,as_prospecting_fr,,new,synthetic_sheet,row_029,,
cr_030,camp_launch,as_prospecting_fr,collection,fixtures/fake_agency_creatives/assets/fr_collection_030.jpg,Hook 30 for prospecting FR,Launch FR 30,https://example.invalid/launch-fr,approved,unsupported_format,acct_fixture_fr,traffic,feed,cec112c1ff75e58c,camp_launch_as_prospecting_fr,hook_30,fr,FR,facebook,paid_social,camp_launch,cr_030_camp_launch_as_prospecting_fr,as_prospecting_fr,,new,synthetic_sheet,row_030,fixture_approver,2026-07-05
cr_031,camp_evergreen,as_broad_us,image,fixtures/fake_agency_creatives/assets/evergreen_static_031.jpg,Hook 31 for broad US,Evergreen 31,https://example.invalid/evergreen-us,approved,,acct_fixture_us,engagement,feed,9799d3d86258cff1,camp_evergreen_as_broad_us,hook_31,en,US,facebook,paid_social,camp_evergreen,cr_031_camp_evergreen_as_broad_us,as_broad_us,,new,synthetic_sheet,row_031,fixture_approver,2026-07-05
cr_032,camp_evergreen,as_broad_us,video,fixtures/fake_agency_creatives/assets/evergreen_video_032.mp4,Hook 32 for broad US,Evergreen 32,https://example.invalid/evergreen-us,approved,,acct_fixture_us,engagement,reels,689f5e1fb3fb7500,camp_evergreen_as_broad_us,hook_32,en,US,facebook,paid_social,camp_evergreen,cr_032_camp_evergreen_as_broad_us,as_broad_us,,new,synthetic_sheet,row_032,fixture_approver,2026-07-05
cr_033,camp_evergreen,as_broad_us,carousel,fixtures/fake_agency_creatives/assets/evergreen_carousel_033.jpg,Hook 33 for broad US,Evergreen 33,https://example.invalid/evergreen-us,pending,missing_approval,acct_fixture_us,engagement,feed,3a90fbe911636408,camp_evergreen_as_broad_us,hook_33,en,US,facebook,paid_social,camp_evergreen,cr_033_camp_evergreen_as_broad_us,as_broad_us,,new,synthetic_sheet,row_033,,
cr_034,camp_evergreen,as_broad_us,story,fixtures/fake_agency_creatives/assets/evergreen_story_034.jpg,Hook 34 for broad US,Evergreen 34,https://example.invalid/evergreen-us,approved,,acct_fixture_us,engagement,story,f84379bf29c89ceb,camp_evergreen_as_broad_us,hook_34,en,US,facebook,paid_social,camp_evergreen,cr_034_camp_evergreen_as_broad_us,as_broad_us,,new,synthetic_sheet,row_034,fixture_approver,2026-07-05
cr_035,camp_evergreen,as_broad_us,image,fixtures/fake_agency_creatives/assets/evergreen_static_035.jpg,Hook 35 for broad US,Evergreen 35,https://example.invalid/evergreen-us,approved,naming_error,acct_fixture_us,engagement,feed,27f827811e114994,camp_evergreen_as_broad_us,hook_35,en,US,facebook,paid_social,camp_evergreen,cr_035_camp_evergreen_as_broad_us,as_broad_us,,new,synthetic_sheet,row_035,fixture_approver,2026-07-05
cr_036,camp_evergreen,as_broad_us,video,fixtures/fake_agency_creatives/assets/evergreen_video_036.mp4,Hook 36 for broad US,Evergreen 36,https://example.invalid/evergreen-us,rejected,missing_approval,acct_fixture_us,engagement,reels,45c7e2bee7149330,camp_evergreen_as_broad_us,hook_36,en,US,facebook,paid_social,camp_evergreen,cr_036_camp_evergreen_as_broad_us,as_broad_us,,new,synthetic_sheet,row_036,,
cr_037,camp_evergreen,as_broad_us,image,fixtures/fake_agency_creatives/assets/evergreen_static_031.jpg,Hook 37 for broad US,Evergreen 37,https://example.invalid/evergreen-us,approved,duplicate_asset,acct_fixture_us,engagement,feed,9799d3d86258cff1,camp_evergreen_as_broad_us,hook_37,en,US,facebook,paid_social,camp_evergreen,cr_037_camp_evergreen_as_broad_us,as_broad_us,post_9799d3d862,existing,synthetic_sheet,row_037,fixture_approver,2026-07-05
cr_038,camp_evergreen,as_broad_us,carousel,fixtures/fake_agency_creatives/assets/evergreen_carousel_038.jpg,Hook 38 for broad US,Evergreen 38,https://example.invalid/evergreen-alt,approved,destination_mismatch,acct_fixture_us,engagement,feed,795fd8c53e1302be,camp_evergreen_as_broad_us,hook_38,en,US,facebook,paid_social,camp_evergreen,cr_038_camp_evergreen_as_broad_us,as_broad_us,,new,synthetic_sheet,row_038,fixture_approver,2026-07-05
cr_039,camp_evergreen,as_broad_us,story,fixtures/fake_agency_creatives/assets/evergreen_story_039.jpg,Hook 39 for broad US,Evergreen 39,https://example.invalid/evergreen-us,pending,missing_approval,acct_fixture_us,engagement,story,0caffd3583a30e21,camp_evergreen_as_broad_us,hook_39,en,US,facebook,paid_social,camp_evergreen,cr_039_camp_evergreen_as_broad_us,as_broad_us,,new,synthetic_sheet,row_039,,
cr_040,camp_evergreen,as_broad_us,collection,fixtures/fake_agency_creatives/assets/evergreen_collection_040.jpg,Hook 40 for broad US,Evergreen 40,https://example.invalid/evergreen-us,approved,unsupported_format,acct_fixture_us,engagement,feed,ae4817e777e187e3,camp_evergreen_as_broad_us,hook_40,en,US,facebook,paid_social,camp_evergreen,cr_040_camp_evergreen_as_broad_us,as_broad_us,,new,synthetic_sheet,row_040,fixture_approver,2026-07-05
cr_041,camp_evergreen,as_lookalike_us,image,fixtures/fake_agency_creatives/assets/lookalike_static_041.jpg,Hook 41 for lookalike US,Lookalike 41,https://example.invalid/lookalike-us,approved,,acct_fixture_us,engagement,feed,b1927c69f24deba1,camp_evergreen_as_lookalike_us,hook_41,en,US,facebook,paid_social,camp_evergreen,cr_041_camp_evergreen_as_lookalike_us,as_lookalike_us,,new,synthetic_sheet,row_041,fixture_approver,2026-07-05
cr_042,camp_evergreen,as_lookalike_us,video,fixtures/fake_agency_creatives/assets/lookalike_video_042.mp4,Hook 42 for lookalike US,Lookalike 42,https://example.invalid/lookalike-us,approved,,acct_fixture_us,engagement,reels,0d444f5e5db79175,camp_evergreen_as_lookalike_us,hook_42,en,US,facebook,paid_social,camp_evergreen,cr_042_camp_evergreen_as_lookalike_us,as_lookalike_us,,new,synthetic_sheet,row_042,fixture_approver,2026-07-05
cr_043,camp_evergreen,as_lookalike_us,carousel,fixtures/fake_agency_creatives/assets/lookalike_carousel_043.jpg,Hook 43 for lookalike US,Lookalike 43,https://example.invalid/lookalike-us,pending,missing_approval,acct_fixture_us,engagement,feed,e40e1444099f92ea,camp_evergreen_as_lookalike_us,hook_43,en,US,facebook,paid_social,camp_evergreen,cr_043_camp_evergreen_as_lookalike_us,as_lookalike_us,,new,synthetic_sheet,row_043,,
cr_044,camp_evergreen,as_lookalike_us,story,fixtures/fake_agency_creatives/assets/lookalike_story_044.jpg,Hook 44 for lookalike US,Lookalike 44,https://example.invalid/lookalike-us,approved,,acct_fixture_us,engagement,story,e18feb10cf11380d,camp_evergreen_as_lookalike_us,hook_44,en,US,facebook,paid_social,camp_evergreen,cr_044_camp_evergreen_as_lookalike_us,as_lookalike_us,,new,synthetic_sheet,row_044,fixture_approver,2026-07-05
cr_045,camp_evergreen,as_lookalike_us,image,fixtures/fake_agency_creatives/assets/lookalike_static_045.jpg,Hook 45 for lookalike US,Lookalike 45,https://example.invalid/lookalike-us,approved,naming_error,acct_fixture_us,engagement,feed,68da55d681216537,camp_evergreen_as_lookalike_us,hook_45,en,US,facebook,paid_social,camp_evergreen,cr_045_camp_evergreen_as_lookalike_us,as_lookalike_us,,new,synthetic_sheet,row_045,fixture_approver,2026-07-05
cr_046,camp_evergreen,as_lookalike_us,video,fixtures/fake_agency_creatives/assets/lookalike_video_046.mp4,Hook 46 for lookalike US,Lookalike 46,https://example.invalid/lookalike-us,rejected,missing_approval,acct_fixture_us,engagement,reels,8912b243e89fb4c4,camp_evergreen_as_lookalike_us,hook_46,en,US,facebook,paid_social,camp_evergreen,cr_046_camp_evergreen_as_lookalike_us,as_lookalike_us,,new,synthetic_sheet,row_046,,
cr_047,camp_evergreen,as_lookalike_us,image,fixtures/fake_agency_creatives/assets/lookalike_static_041.jpg,Hook 47 for lookalike US,Lookalike 47,https://example.invalid/lookalike-us,approved,duplicate_asset,acct_fixture_us,engagement,feed,b1927c69f24deba1,camp_evergreen_as_lookalike_us,hook_47,en,US,facebook,paid_social,camp_evergreen,cr_047_camp_evergreen_as_lookalike_us,as_lookalike_us,post_b1927c69f2,existing,synthetic_sheet,row_047,fixture_approver,2026-07-05
